Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
13470,Vandegrift,2260,94.96%,1.68%,0.31%,0.35%,1.11%,1.59%
13536,Vesely,2241,94.82%,0.45%,0.71%,0.49%,0.85%,2.68%
13551,Vallone,2237,95.53%,(S),0.58%,(S),0.80%,2.77%
13603,Vivanco,2227,5.88%,0.22%,(S),0.22%,(S),93.44%
13616,VanBeek,2225,96.81%,0.58%,0.49%,0.22%,0.85%,1.03%
13627,Viray,2222,3.42%,(S),88.12%,(S),4.37%,3.87%
13654,Victorino,2218,24.26%,0.68%,15.01%,5.82%,6.76%,47.48%
13670,Vroman,2215,95.12%,0.32%,0.63%,0.32%,0.99%,2.62%
13759,Verret,2199,77.72%,7.69%,0.55%,8.87%,2.46%,2.73%
13883,Vandenheuvel,2176,96.05%,0.32%,0.51%,0.55%,1.33%,1.24%
13887,Voth,2174,96.64%,(S),0.87%,(S),0.74%,1.43%
13967,Veazey,2159,88.33%,7.13%,(S),(S),1.44%,2.69%
14006,Volkman,2150,94.74%,(S),(S),0.79%,1.49%,2.14%
14030,VanFossen,2147,97.16%,(S),0.47%,(S),1.12%,0.88%
14030,Vannatta,2147,93.67%,(S),1.44%,(S),3.03%,1.49%
14042,Viator,2145,93.10%,1.31%,(S),(S),1.59%,3.73%
14096,VanPatten,2132,93.25%,0.84%,0.94%,0.28%,2.72%,1.97%
14096,Veith,2132,94.09%,(S),0.61%,(S),1.78%,3.05%
14191,Veatch,2116,94.99%,0.43%,0.43%,0.57%,1.65%,1.94%
14332,Vicknair,2088,95.40%,1.53%,(S),(S),0.96%,1.53%
14382,Vanderveen,2078,95.28%,(S),0.72%,(S),1.83%,1.64%
14447,Varley,2068,93.38%,0.73%,1.06%,0.48%,0.87%,3.48%
14468,VanWormer,2064,96.46%,(S),0.44%,(S),1.11%,1.50%
14495,Vedder,2058,92.57%,1.36%,(S),(S),1.55%,3.30%
14507,Vanderford,2056,91.54%,2.33%,0.83%,0.24%,2.87%,2.19%
14571,Varughese,2044,1.81%,(S),94.52%,0.78%,2.05%,(S)
14579,Viviano,2043,86.00%,0.54%,0.29%,0.29%,1.08%,11.80%
14599,Vartanian,2039,93.33%,(S),0.34%,(S),3.58%,2.31%
14643,Vidaurri,2032,10.43%,(S),0.59%,(S),0.30%,88.39%
